x y label
-11.131601 -21.844482 3
-11.131601 -21.644482 3
-11.131601 -21.44448 3
-11.131601 -21.24448 3
-11.131601 -21.04448 3
-11.131601 -20.844479 3
-11.131601 -20.644478 3
-11.131601 -20.444477 3
-11.131601 -20.244476 3
-11.131601 -20.044476 3
-11.131601 -19.844475 3
-11.131601 -19.644474 3
-11.131601 -19.444473 3
-11.131601 -19.244473 3
-11.131601 -19.044472 3
-11.131601 -18.844471 3
-11.131601 -18.64447 3
-11.131601 -18.44447 3
-11.131601 -18.244469 3
-11.131601 -18.044468 3
-11.131601 -17.844467 3
-11.131601 -17.644466 3
-11.131601 -17.444466 3
-11.131601 -17.244465 3
-11.131601 -17.044464 3
-11.131601 -16.844463 3
-11.131601 -16.644463 3
-11.131601 -16.444462 3
-11.131601 -16.244461 3
-11.131601 -16.04446 3
-11.131601 -15.8444605 3
-11.131601 -15.644461 3
-11.131601 -15.444461 3
-11.131601 -15.244461 3
-11.131601 -15.044461 3
-11.131601 -14.844461 3
-11.131601 -14.644462 3
-11.131601 -14.444462 3
-11.131601 -14.244462 3
-11.131601 -14.044462 3
-11.131601 -13.844462 3
-11.131601 -13.644463 3
-11.131601 -13.444463 3
-11.131601 -13.244463 3
-11.131601 -13.044463 3
-11.131601 -12.844463 3
-11.131601 -12.644464 3
-11.131601 -12.444464 3
-11.131601 -12.244464 3
-11.131601 -12.044464 3
-11.131601 -11.844464 3
-11.131601 -11.6444645 3
-11.131601 -11.444465 3
-11.131601 -11.244465 3
-11.131601 -11.044465 3
-11.131601 -10.844465 3
-11.131601 -10.644465 3
-11.131601 -10.444466 3
-11.131601 -10.244466 3
-11.131601 -10.044466 3
-11.131601 -9.844466 3
-11.131601 -9.644466 3
-11.131601 -9.444467 3
-11.131601 -9.244467 3
-11.131601 -9.044467 3
-11.131601 -8.844467 3
-11.131601 -8.644467 3
-11.131601 -8.444468 3
-11.131601 -8.244468 3
-11.131601 -8.044468 3
-11.131601 -7.844468 3
-11.131601 -7.6444683 3
-11.131601 -7.4444685 2
-11.131601 -7.2444687 2
-11.131601 -7.044469 2
-11.131601 -6.844469 2
-11.131601 -6.6444693 2
-11.131601 -6.4444695 2
-11.131601 -6.2444696 2
-11.131601 -6.04447 2
-11.131601 -5.84447 2
-11.131601 -5.64447 2
-11.131601 -5.4444704 2
-11.131601 -5.2444706 2
-11.131601 -5.044471 2
-11.131601 -4.844471 2
-11.131601 -4.644471 2
-11.131601 -4.4444714 2
-11.131601 -4.2444715 2
-11.131601 -4.0444717 2
-11.131601 -3.8444717 2
-11.131601 -3.6444716 2
-11.131601 -3.4444716 2
-11.131601 -3.2444715 2
-11.131601 -3.0444715 2
-11.131601 -2.8444715 2
-11.131601 -2.6444714 2
-11.131601 -2.4444714 2
-11.131601 -2.2444713 2
-11.131601 -2.0444713 2
-11.131601 -1.8444712 2
-11.131601 -1.6444712 2
-11.131601 -1.4444711 2
-11.131601 -1.2444711 2
-11.131601 -1.044471 2
-11.131601 -0.84447104 2
-11.131601 -0.64447105 2
-11.131601 -0.44447106 2
-11.131601 -0.24447106 2
-11.131601 -0.044471055 2
-11.131601 0.15552895 2
-11.131601 0.35552895 2
-11.131601 0.55552894 2
-11.131601 0.7555289 2
-11.131601 0.9555289 2
-10.931602 -21.844482 3
-10.931602 -21.644482 3
-10.931602 -21.44448 3
-10.931602 -21.24448 3
-10.931602 -21.04448 3
-10.931602 -20.844479 3
-10.931602 -20.644478 3
-10.931602 -20.444477 3
-10.931602 -20.244476 3
-10.931602 -20.044476 3
-10.931602 -19.844475 3
-10.931602 -19.644474 3
-10.931602 -19.444473 3
-10.931602 -19.244473 3
-10.931602 -19.044472 3
-10.931602 -18.844471 3
-10.931602 -18.64447 3
-10.931602 -18.44447 3
-10.931602 -18.244469 3
-10.931602 -18.044468 3
-10.931602 -17.844467 3
-10.931602 -17.644466 3
-10.931602 -17.444466 3
-10.931602 -17.244465 3
-10.931602 -17.044464 3
-10.931602 -16.844463 3
-10.931602 -16.644463 3
-10.931602 -16.444462 3
-10.931602 -16.244461 3
-10.931602 -16.04446 3
-10.931602 -15.8444605 3
-10.931602 -15.644461 3
-10.931602 -15.444461 3
-10.931602 -15.244461 3
-10.931602 -15.044461 3
-10.931602 -14.844461 3
-10.931602 -14.644462 3
-10.931602 -14.444462 3
-10.931602 -14.244462 3
-10.931602 -14.044462 3
-10.931602 -13.844462 3
-10.931602 -13.644463 3
-10.931602 -13.444463 3
-10.931602 -13.244463 3
-10.931602 -13.044463 3
-10.931602 -12.844463 3
-10.931602 -12.644464 3
-10.931602 -12.444464 3
-10.931602 -12.244464 3
-10.931602 -12.044464 3
-10.931602 -11.844464 3
-10.931602 -11.6444645 3
-10.931602 -11.444465 3
-10.931602 -11.244465 3
-10.931602 -11.044465 3
-10.931602 -10.844465 3
-10.931602 -10.644465 3
-10.931602 -10.444466 3
-10.931602 -10.244466 3
-10.931602 -10.044466 3
-10.931602 -9.844466 3
-10.931602 -9.644466 3
-10.931602 -9.444467 3
-10.931602 -9.244467 3
-10.931602 -9.044467 3
-10.931602 -8.844467 3
-10.931602 -8.644467 3
-10.931602 -8.444468 3
-10.931602 -8.244468 3
-10.931602 -8.044468 3
-10.931602 -7.844468 3
-10.931602 -7.6444683 3
-10.931602 -7.4444685 2
-10.931602 -7.2444687 2
-10.931602 -7.044469 2
-10.931602 -6.844469 2
-10.931602 -6.6444693 2
-10.931602 -6.4444695 2
-10.931602 -6.2444696 2
-10.931602 -6.04447 2
-10.931602 -5.84447 2
-10.931602 -5.64447 2
-10.931602 -5.4444704 2
-10.931602 -5.2444706 2
-10.931602 -5.044471 2
-10.931602 -4.844471 2
-10.931602 -4.644471 2
-10.931602 -4.4444714 2
-10.931602 -4.2444715 2
-10.931602 -4.0444717 2
-10.931602 -3.8444717 2
-10.931602 -3.6444716 2
-10.931602 -3.4444716 2
-10.931602 -3.2444715 2
-10.931602 -3.0444715 2
-10.931602 -2.8444715 2
-10.931602 -2.6444714 2
-10.931602 -2.4444714 2
-10.931602 -2.2444713 2
-10.931602 -2.0444713 2
-10.931602 -1.8444712 2
-10.931602 -1.6444712 2
-10.931602 -1.4444711 2
-10.931602 -1.2444711 2
-10.931602 -1.044471 2
-10.931602 -0.84447104 2
-10.931602 -0.64447105 2
-10.931602 -0.44447106 2
-10.931602 -0.24447106 2
-10.931602 -0.044471055 2
-10.931602 0.15552895 2
-10.931602 0.35552895 2
-10.931602 0.55552894 2
-10.931602 0.7555289 2
-10.931602 0.9555289 2
-10.731602 -21.844482 3
-10.731602 -21.644482 3
-10.731602 -21.44448 3
-10.731602 -21.24448 3
-10.731602 -21.04448 3
-10.731602 -20.844479 3
-10.731602 -20.644478 3
-10.731602 -20.444477 3
-10.731602 -20.244476 3
-10.731602 -20.044476 3
-10.731602 -19.844475 3
-10.731602 -19.644474 3
-10.731602 -19.444473 3
-10.731602 -19.244473 3
-10.731602 -19.044472 3
-10.731602 -18.844471 3
-10.731602 -18.64447 3
-10.731602 -18.44447 3
-10.731602 -18.244469 3
-10.731602 -18.044468 3
-10.731602 -17.844467 3
-10.731602 -17.644466 3
-10.731602 -17.444466 3
-10.731602 -17.244465 3
-10.731602 -17.044464 3
-10.731602 -16.844463 3
-10.731602 -16.644463 3
-10.731602 -16.444462 3
-10.731602 -16.244461 3
-10.731602 -16.04446 3
-10.731602 -15.8444605 3
-10.731602 -15.644461 3
-10.731602 -15.444461 3
-10.731602 -15.244461 3
-10.731602 -15.044461 3
-10.731602 -14.844461 3
-10.731602 -14.644462 3
-10.731602 -14.444462 3
-10.731602 -14.244462 3
-10.731602 -14.044462 3
-10.731602 -13.844462 3
-10.731602 -13.644463 3
-10.731602 -13.444463 3
-10.731602 -13.244463 3
-10.731602 -13.044463 3
-10.731602 -12.844463 3
-10.731602 -12.644464 3
-10.731602 -12.444464 3
-10.731602 -12.244464 3
-10.731602 -12.044464 3
-10.731602 -11.844464 3
-10.731602 -11.6444645 3
-10.731602 -11.444465 3
-10.731602 -11.244465 3
-10.731602 -11.044465 3
-10.731602 -10.844465 3
-10.731602 -10.644465 3
-10.731602 -10.444466 3
-10.731602 -10.244466 3
-10.731602 -10.044466 3
-10.731602 -9.844466 3
-10.731602 -9.644466 3
-10.731602 -9.444467 3
-10.731602 -9.244467 3
-10.731602 -9.044467 3
-10.731602 -8.844467 3
-10.731602 -8.644467 3
-10.731602 -8.444468 3
-10.731602 -8.244468 3
-10.731602 -8.044468 3
